TeamName;User;Role;Channel;Type;ChannelName;ChannelUser;ChannelRole
Team-name, even with whitespace and comma;user1@your365domain.onmicrosoft.com;Member;channel1;Shared;channel1;user1@your365domain.onmicrosoft.com;Member
;user2@your365domain.onmicrosoft.com;Member;channel2;Shared;channel1;user2@your365domain.onmicrosoft.com;Member
;user3@your365domain.onmicrosoft.com;owner;channel3;Shared;channel1;user3@your365domain.onmicrosoft.com;owner
;user4@your365domain.onmicrosoft.com;Member;channel4;Shared;channel1;user4@your365domain.onmicrosoft.com;owner
;user5@your365domain.onmicrosoft.com;owner;channel5;Shared;channel1;user5@your365domain.onmicrosoft.com;Member
;user6@your365domain.onmicrosoft.com;owner;channel6;Shared;channel1;user6@your365domain.onmicrosoft.com;Member
;user7@your365domain.onmicrosoft.com;Member;channel7;Shared;channel1;UserA@your365domain.onmicrosoft.com;Member
;user8@your365domain.onmicrosoft.com;Member;channel8;Shared;channel1;UserB@your365domain.onmicrosoft.com;Member
;user9@your365domain.onmicrosoft.com;owner;channel9;Shared;channel1;UserC@your365domain.onmicrosoft.com;Member
;UserA@your365domain.onmicrosoft.com;Member;channel10;Shared;channel1;UserD@your365domain.onmicrosoft.com;Member
;UserB@your365domain.onmicrosoft.com;Member;;;channel1;UserE@your365domain.onmicrosoft.com;Member
;UserC@your365domain.onmicrosoft.com;Member;;;channel1;user9@your365domain.onmicrosoft.com;Member
;UserD@your365domain.onmicrosoft.com;Member;;;channel2;UserA@your365domain.onmicrosoft.com;Member
;UserE@your365domain.onmicrosoft.com;Member;;;channel2;UserB@your365domain.onmicrosoft.com;Member
;;;;;channel2;user1@your365domain.onmicrosoft.com;owner
;;;;;channel2;user2@your365domain.onmicrosoft.com;owner
;;;;;channel2;user3@your365domain.onmicrosoft.com;Member
;;;;;channel2;user4@your365domain.onmicrosoft.com;Member
;;;;;channel2;user5@your365domain.onmicrosoft.com;Member
;;;;;channel2;user6@your365domain.onmicrosoft.com;Member
;;;;;channel2;user7@your365domain.onmicrosoft.com;Member
;;;;;channel2;user8@your365domain.onmicrosoft.com;Member
;;;;;channel2;user9@your365domain.onmicrosoft.com;owner
;;;;;channel3;UserA@your365domain.onmicrosoft.com;owner
;;;;;channel3;UserB@your365domain.onmicrosoft.com;Member
;;;;;channel3;UserC@your365domain.onmicrosoft.com;Member
;;;;;channel3;UserD@your365domain.onmicrosoft.com;Member
;;;;;channel3;UserE@your365domain.onmicrosoft.com;owner
;;;;;channel3;user1@your365domain.onmicrosoft.com;Member
;;;;;channel3;user2@your365domain.onmicrosoft.com;Member
;;;;;channel4;user3@your365domain.onmicrosoft.com;owner
;;;;;channel4;user4@your365domain.onmicrosoft.com;Member
;;;;;channel4;user5@your365domain.onmicrosoft.com;Member
;;;;;channel5;user6@your365domain.onmicrosoft.com;owner
;;;;;channel5;user7@your365domain.onmicrosoft.com;Member
;;;;;channel5;user8@your365domain.onmicrosoft.com;Member
;;;;;channel5;user9@your365domain.onmicrosoft.com;Member
;;;;;channel5;UserA@your365domain.onmicrosoft.com;Member
;;;;;channel5;UserB@your365domain.onmicrosoft.com;Member
;;;;;channel5;UserC@your365domain.onmicrosoft.com;Member
;;;;;channel5;UserD@your365domain.onmicrosoft.com;Member
;;;;;channel5;UserE@your365domain.onmicrosoft.com;Member
